"Comparison","Number of studies","Within-study bias","Reporting bias","Indirectness","Imprecision","Heterogeneity","Incoherence","Confidence rating","Reason(s) for downgrading"
"CBT-I:Combination",5,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"CBT-I:Pharmacotherapy",7,"No concerns","Low risk","No concerns","No concerns","Some concerns","No concerns","Moderate","[]"
"Combination:Pharmacotherapy",3,"Some concerns","Low risk","No concerns","Some concerns","Some concerns","No concerns","Moderate","[]"
